tipooperador,empresabandera,razonsocial,cuit,direccion,localidad,provincia,Longitude,Latitude
Combustibles líquidos únicamente,YPF,JORGE CARLOS MACARIO,20-10154414-2,BORGNA 525,CLUCELLAS,SANTA FE,-61.71008,-31.45732
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ESTACION DE SERVICIO LAURENCENA SRL,30-57466871-5,AV. RAMIREZ 4410,PARANA,ENTRE RIOS,-60.522309,-31.761629
Duales (líquidos + GNC),YPF,ESTACION DE SERVICIO FLORENCIA S.R.L.,30-54336584-6,GRAL. GUEMES 4,SALTA,SALTA,-65.40282,-24.78667
Sólo GNC,BLANCA,COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE LA ZONA SUR DEL PARTIDO DE 25 DE MAYO LIMITADA,30-59220736-9,CALLE 35 N° 847,25 DE MAYO,BUENOS AIRES,-60.16962,-35.425
Duales (líquidos + GNC),YPF,ASENSIO E HIJO Y PULLEY S.R.L.,30-52020104-8,MONTEVERDE 3552,BURZACO,BUENOS AIRES,-58.41225,-34.83209
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,VERSALLES MULTISERVICE SRL,33-66137485-9,IRIGOYEN 1260,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.516089,-34.628799
Combustibles líquidos únicamente,YPF,EL CURVON SRL,30-55101611-7,"RUTA NACIONAL N° 9  KM 41,5",BENAVIDEZ,BUENOS AIRES,-58.7298,-34.40728
Duales (líquidos + GNC),YPF,LAFECOM S.A.,30-68709129-5,AV ANTARTIDA ARGENTINA 7191,ISIDRO CASANOVA,BUENOS AIRES,-58.56426,-34.73875
Duales (líquidos + GNC),YPF,LAFECOM S.A.,30-68709129-5,AV GRAL ROJO 5285,G. LAFERRERE,BUENOS AIRES,-58.60953,-34.75821
Duales (líquidos + GNC),PUMA,HERLAUPA S.A.,30-68209117-3,AV SAN MARTIN 4600,VILLA INSUPERABLE,BUENOS AIRES,-58.5218,-34.6792
Combustibles líquidos únicamente,YPF,ALLUB HERMANOS S.R.L.,30-52765133-2,ALEM 6/42,PALMIRA,MENDOZA,-68.56452,-33.05051
Duales (líquidos + GNC),PUMA,PASCUA S.A.,30-62758387-3,AV. PRINGLES 2233,OLAVARRIA,BUENOS AIRES,-60.32246,-36.90143
Duales (líquidos + GNC),YPF,ALLUB HERMANOS SRL,30-52765133-2,RUTA 7 KM 941,LA DORMIDA,MENDOZA,-67.90993,-33.33967
Combustibles líquidos únicamente,AXION,VALLE 16 DE OCTUBRE SH,30-67036460-3,RUTA 259 ESQ RHIS THOMAS,TREVELIN,CHUBUT,-71.460581,-43.073408
Combustibles líquidos únicamente,YPF,ALLUB HERMANOS SRL,30-52765133-2,URQUIZA Y MORENO,RUSELL,MENDOZA,-68.75743,-33.00112
Combustibles líquidos únicamente,YPF,ESTACIÓN DE SERVICIO Y.P.F CENTRO CONESA,30-64856607-3,SAN MARTIN Nº 465,GRAL. CONESA,RIO NEGRO,-64.4542,-40.10527
Combustibles líquidos únicamente,BLANCA,PERILLI HNOS S.R.L.,30-52211803-2,Bernardo de Irigoyen 181,CONCORDIA,ENTRE RIOS,-58.022773,-31.396878
Combustibles líquidos únicamente,AXION,PUERTA SA,30-59299051-9,Avenida Quaranta 4150,POSADAS,MISIONES,-55.92174,-27.40198
Combustibles líquidos únicamente,AXION,PUERTA SA,30-59299051-9,Avenida uruguay 3794,POSADAS,MISIONES,-55.90018,-27.38403
Combustibles líquidos únicamente,YPF,RICARDO RISATTI S.A.C.I.F.,33-52593518-9,RUTA NAC. 7 Y ACCESO 0,LABOULAYE,CORDOBA,-63.39136,-34.14491
Combustibles líquidos únicamente,YPF,RICARDO RISATTI S.A.C.I.F.,33-52593518-9,RUTA NACIONAL 35 Y ACCESO NORTE,HUINCA RENACO,CORDOBA,-64.37075,-34.80629
Combustibles líquidos únicamente,DAPSA S.A.,ATILU SERVICIOS S.R.L.,30-67999093-0,AV BELGRANO 3540,S.M. DE TUCUMAN,TUCUMAN,-65.24794,-26.80958
Combustibles líquidos únicamente,YPF,EDGARDOYEDDAD´ONOFRIOS.R.L.,30-60857406-5,SAN MARTÍN 714,URANGA,SANTA FE,-60.70532,-33.26428
Combustibles Líquidos + PRVE,YPF,ICARDI Y BREZZO S. H.,30-63410752-1,AV. SAN MARTIN 204,MATTALDI,CORDOBA,-64.17414,-34.47879
Combustibles líquidos únicamente,YPF,PEDRO PABLO BELTRAMO,23-10436787-9,AV CORDOBA 151,ARRIBEÑOS,BUENOS AIRES,-61.35795,-34.20868
Combustibles líquidos únicamente,YPF,DOS MIL S.A.,30-68792387-8,AV. DEMETRIO HREÑUK Km. 54,APOSTOLES,MISIONES,-55.7384,-27.9152
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,PASCUA S.A.,30-62758387-3,GENERAL PAZ Y LAMADRID,OLAVARRIA,BUENOS AIRES,-60.32157,-36.896
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,EDUARDO MATEOS SRL,30-54824858-9,ACCESO NORTE Y PÚBLICA 805,PARANA,ENTRE RIOS,-60.456294,-31.732873
Combustibles líquidos únicamente,PUMA,PASCUA S.A.,30-62758387-3,25 DE MAYO 1649,OLAVARRIA,BUENOS AIRES,-60.329203,-36.904279
Duales (líquidos + GNC),YPF,ARMANDO MARCUZZI SRL,30-55364658-4,AV URUGUAY 695,VILLA CARLOS PAZ,CORDOBA,-64.49375,-31.41625
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,PASCUA S.A.,30-62758387-3,CALLE 106 2758,OLAVARRIA,BUENOS AIRES,-60.30231,-36.87727
Duales (líquidos + GNC),YPF,EL JAGUEL SA,30-68125400-1,RUTA NACIONAL 34 KM 1135,GRAL. GUEMES,SALTA,-65.04547,-24.68763
Duales (líquidos + GNC),PUMA,PETROGAS LUJAN S.A.,30-70852325-5,Bv. Oroño 5059,ROSARIO,SANTA FE,-60.66491,-32.99714
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,EDUARDO MATEOS SRL,30-54824858-9,ILLIA391 ESQ. GUALEGUAYCHÚ,PARANA,ENTRE RIOS,-60.526945,-31.737744
Combustibles líquidos únicamente,YPF,SAENZ PEÑA COMBUSTIBLES SAC,30-53400406-7,BELGRANO 199,SAENZ PEÑA,CHACO,-60.44076,-26.79205
Combustibles líquidos únicamente,BLANCA,SUCESORES DE LUIS S.A. TRAVERSO S. H.,33-65844555-9,caseros 1100,NOGOYA,ENTRE RIOS,-59.789718,-32.397771
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,SUCESORES DE LUIS S.A. TRAVERSO S. H.,33-65844555-9,avellaneda y ruta 12 0,NOGOYA,ENTRE RIOS,-59.787786,-32.385948
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,PETROLERA SAENZ PEÑA SC,33-62620741-9,CDTE.FERNANDEZ 127,SAENZ PEÑA,CHACO,-60.45,-26.80423
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,SUCESORES DE LUIS S.A. TRAVERSO S. H.,33-65844555-9,españa y 9 de julio sin numero,NOGOYA,ENTRE RIOS,-59.78721,-32.39234
Combustibles líquidos únicamente,BLANCA,P. & H. SRL,30-63739745-8,AV. SOBERANIA NACIONAL 435,RESISTENCIA,CHACO,-59.00404,-27.47377
Combustibles líquidos únicamente,BLANCA,P. & H. SRL,30-63739745-8,AV. SAN MARTIN Y ROSARIO S/N,PUERTO VILELAS,CHACO,-58.94163,-27.51023
Combustibles líquidos únicamente,YPF,ANIBAL L Y JUAN C. MASSA,30-57652766-3,AV SAN MARTIN 217,AMEGHINO,BUENOS AIRES,-62.46596,-34.84565
Combustibles líquidos únicamente,PUMA,TECNO VALLE S.R.L.,33-65578597-9,CHAMPLEAUX S/N,BELTRAN,RIO NEGRO,-65.7553,-39.31095
Combustibles líquidos únicamente,YPF,E.S.A.,23-17771957-9,"RUTA NACIONAL Nº 12 KM Nº 1361,5",CANDELARIA,MISIONES,-55.74543,-27.47166
Combustibles líquidos únicamente,BLANCA,"CORTONA, PAMELA",27-28759589-7,RUTA 4 Y 11,CHAZON,CORDOBA,-63.2728,-33.08564
Duales (líquidos + GNC),YPF,DIAGONAL DON BOSCO SRL,30-68170868-1,Rawson (sur) 745,SAN JUAN,SAN JUAN,-68.51454,-31.54251
Duales (líquidos + GNC),SHELL C.A.P.S.A.,LOGRACOMB S.A.,30-69003756-0,RUTA 200 KM. 35,MERLO,BUENOS AIRES,-58.763434,-34.685575
Sólo GNC,BLANCA,MATI SA,30-70806503-6,VICENTE LÒPEZ Y AVELLANEDA,LA BANDA,SANTIAGO DEL ESTERO,-64.242975,-27.736796
Duales (líquidos + GNC),SHELL C.A.P.S.A.,PETROMAX,20-12697188-6,RUTA NACIONAL 40 KM 154,POCITOS,SAN JUAN,-68.53842,-31.64328
Duales (líquidos + GNC),YPF,EDUARDO CIRO DEL VALLE MORALES,20-11779957-4,RUTA NACIONAL Nª 38 KM 587,VALLE VIEJO,CATAMARCA,-65.72266,-28.44959
Combustibles líquidos únicamente,YPF,"BALDOVINO, MIGUEL JOSÉ",20-08077146-1,Ruta Nacional n° 8 455,CANALS,CORDOBA,-62.86955,-33.53294
Combustibles líquidos únicamente,BLANCA,PUERTA SA,30-59299051-9,ALVEAR 862,APOSTOLES,MISIONES,-55.752353,-27.915189
Combustibles líquidos únicamente,BLANCA,"OLIVA, JORGE CARLOS",20-11932739-4,Maipú y Malvinas 0,CANALS,CORDOBA,-62.875148,-33.559373
Combustibles líquidos únicamente,AXION,PUERTA SA,30-59299051-9,BELGRANO 541,APOSTOLES,MISIONES,-55.756528,-27.917119
Combustibles líquidos únicamente,YPF,SIMON DREISPIEL SA,30-52171307-7,Av. Gdor Antonio Ruiz 2260,CORRIENTES,CORRIENTES,-58.821191,-27.467161
Combustibles líquidos únicamente,YPF,RIVERA INDARTE NORTE SRL,30-55006107-0,TRIUNVIRATO 1239,RAMOS MEJIA,BUENOS AIRES,-58.57627,-34.65074
Combustibles líquidos únicamente,YPF,BIANCHI S.C.,30-52242458-3,Belgrano sud 1481,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,-64.25411,-27.79879
Duales (líquidos + GNC),YPF,ASENSIO E HIJO Y PULLEY S.R.L.,30-52020104-8,MONTEVERDE 3445,BURZACO,BUENOS AIRES,-58.41306,-34.83252
Duales (líquidos + GNC),YPF,BASSO HNOS S.A.,30-55908892-3,AVDA.J.B.JUSTO 2035,MAR DEL PLATA,BUENOS AIRES,-57.56094,-38.02633
Duales (líquidos + GNC),YPF,BASSO HNOS S.A.,30-55908892-3,AVDA.M.DE HOZ 301,MAR DEL PLATA,BUENOS AIRES,-57.54414,-38.04369
Duales (líquidos + GNC),YPF,LA BLANCA S.R.L.,30-53928568-4,Ovidio Lagos 5271,ROSARIO,SANTA FE,-60.67384,-32.99506
Sólo GNC,BLANCA,RUBO S.A.,30-64429452-4,REPÚBLICA DEL LÍBANO 1205 OESTE,RAWSON,SAN JUAN,-68.545053,-31.56261
Duales (líquidos + GNC),YPF,PACRISVA S.A.,30-62884156-6,J. M. PAZ 2975,ITUZAINGO,BUENOS AIRES,-58.68835,-34.63002
Duales (líquidos + GNC),YPF,MONFRAN  S.R.L.,30-70151631-8,AVENIDA  FRANCIA  1620,ROSARIO,SANTA FE,-60.66815,-32.95127
Combustibles Líquidos + PRVE,YPF,MARIA JOSE Y GUILLERMO F. ARAMBURU S.H.,33-70837246-9,BELGRANO 621,FELICIANO,ENTRE RIOS,-58.760371,-30.384103
Combustibles líquidos únicamente,DAPSA S.A.,ESTACIÓN DE SERVICIO GENERAL MOSCONI S.R.L.,30-53418920-2,LEANDRO ALEM 52,GUALEGUAY,ENTRE RIOS,-59.31432,-33.1464
Combustibles líquidos únicamente,YPF,CARLOS PESSI SRL (actual Grupo Norte SRL),30-67163768-9,RAUL B. DIAZ 175,SANTA ROSA,LA PAMPA,-64.29012,-36.61517
Combustibles líquidos únicamente,YPF,CARLOS PESSI SRL (actual Grupo Norte SRL),30-67163768-9,RUTA 35 KM 322,SANTA ROSA,LA PAMPA,-64.28369,-36.66172
Combustibles líquidos únicamente,YPF,CARLOS PESSI SRL (actual Grupo Norte SRL),30-67163768-9,BALCARCE Y LAVALLE,GRAL. ACHA,LA PAMPA,-64.60021,-37.37302
Combustibles líquidos únicamente,YPF,PANAMERICANA SRL,30-53711555-2,AV. SAN MARTIN 5316,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.49309,-34.59724
Combustibles líquidos únicamente,YPF,CARLOS PESSI SRL (actual Grupo Norte SRL),30-67163768-9,RUTA 35 Y RUTA 152,PADRE BUODO,LA PAMPA,-64.28856,-37.30678
Combustibles líquidos únicamente,YPF,PETROPAT SRL,30-70807478-7,JOSE INGENIEROS 380,COMODORO RIVADAVIA,CHUBUT,-67.45735,-45.8176
Combustibles líquidos únicamente,YPF,CARLOS PESSI SRL (actual Grupo Norte SRL),30-67163768-9,SARMIENTO Y RODRIGUEZ PEÑA,INTENDENTE ALVEAR,LA PAMPA,-63.59297,-35.23535
Duales (líquidos + GNC),PUMA,GESE INVERSIONES S.A.,30-70821133-4,RUTA NACIONAL N° 12 Y CALLE GUALEGUAY,NOGOYA,ENTRE RIOS,-59.79407,-32.37796
Duales (líquidos + GNC),YPF,SUCESORES DE ROBERTO SAMÁN SRL,30-56351657-3,20 DE FEBRERO Y C. GAUNA,EL CARRIL,SALTA,-65.49706,-25.07385
Combustibles líquidos únicamente,YPF,HUGO J.FRAPPA Y RAMON A.MOINE S.R.L.,33-56589771-9,SAN MARTIN 287,DESPEÑADEROS,CORDOBA,-64.28904,-31.8184
Combustibles líquidos únicamente,YPF,REYES HERMANOS S.R.L.,30-62251756-2,RUTA NACIONAL Nº 40 - SALICAS 3995,SALICAS,LA RIOJA,-67.071917,-28.37175
Duales (líquidos + GNC),YPF,KOMO SAICI,30-66149642-4,RUTA 8 Nº 5050 o KM. 18,SAN MARTIN,BUENOS AIRES,-58.57438,-34.56414
Combustibles líquidos únicamente,YPF,ANTONIO CARGNEL E HIJOS S C,30-50243736-0,LIBERTAD 249,SEGUI,ENTRE RIOS,-60.12433,-31.957055
Duales (líquidos + GNC),PUMA,ESTACION DE SERVICIO UNIVERSO SRL,30-54287196-9,AVDA. COLON 3380,CORDOBA,CORDOBA,-64.22458,-31.400924
Combustibles líquidos únicamente,YPF,AUTOMOVIL CLUB ARGENTINO,30-50014329-7,BLAS PARERA 3899 AU. PANAMERICANA Y DEBENEDETTI (ACCESO NORTE I),OLIVOS,BUENOS AIRES,-58.5213,-34.51205
Combustibles líquidos únicamente,BLANCA,MUNICIPALIDAD DE SANTA TERESA,30-99922504-3,SAN MARTÍN 584,GUATRACHE,LA PAMPA,-63.552239,-37.667358
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,LA ESTACION DE CURUZU S.R.L.,33-66978853-9,CAA GUAZU Y GOBERNADOR GOMEZ S/N,CURUZU CUATIA,CORRIENTES,-58.052106,-29.789472
Sólo GNC,BLANCA,BRAGADO GAS SRL,30-64077668-0,BRAGADO 6001,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.503274,-34.653877
Combustibles líquidos únicamente,YPF,PARADOR ROBLES SRL,30-64882042-5,RUTA 8KM 78,PARADA ROBLES,BUENOS AIRES,-59.13262,-34.37305
Combustibles líquidos únicamente,YPF,AUTOMOVIL CLUB ARGENTINO,30-50014329-7,AV.DEL LIBERTADOR 1850,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.4,-34.58289
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,MAVISUR SA,30-70574067-0,MARIANO CASTEX 425 EZEIZA,EZEIZA,BUENOS AIRES,-58.504845,-34.850193
Combustibles líquidos únicamente,YPF,"UNION AGRICOLA DE AVELLANEDA, COOP. LTDA.",30-50191240-5,SAN MARTIN 785,AVELLANEDA,SANTA FE,-59.65515,-29.11767
Combustibles líquidos únicamente,YPF,AUTOMOVIL CLUB ARGENTINO,30-50014329-7,echeverria 3901,MUNRO,BUENOS AIRES,-58.52396,-34.51364
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ECONORTE SA,30-69935857-2,RUTA 26 Nº2537,ESCOBAR,BUENOS AIRES,-58.769884,-34.405606
Combustibles líquidos únicamente,YPF,AUTOMOVIL CLUB ARGENTINO,30-50014329-7,AUTOP.BUEN AYRE Y PANAMERICANA,BANCALARI,BUENOS AIRES,-58.58936,-34.50553
Combustibles líquidos únicamente,YPF,AUTOMOVIL CLUB ARGENTINO,30-50014329-7,AUTOP.BUEN AYRE Y PANAMERICANA,JOSE LEON SUAREZ,BUENOS AIRES,-58.59015,-34.50563
Duales (líquidos + GNC),YPF,MARTIN BARROCAS Y CIA S.R.L,30-60896407-6,RUTA 9 KM 49.5 ESQ AV 25 DE MAYO,ESCOBAR,BUENOS AIRES,-58.79687,-34.35627
Combustibles líquidos únicamente,YPF,MAURER & GRUMELLI S.R.L.,30-60131698-2,MIRANDA 5317,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.50969,-34.62606
Duales (líquidos + GNC),GULF,MADEGAS SA,30-65261495-3,AV. PTE PERON 6575,ROSARIO,SANTA FE,-60.71009,-32.96758
Duales (líquidos + GNC),YPF,ESTACIÓN DE SERVICIO LAS FLORES SRL,30-68540146-7,Av Velez Sarsfield 3474,CORDOBA,CORDOBA,-64.20023,-31.45027
Duales (líquidos + GNC),SHELL C.A.P.S.A.,LEBEN GAS SA,30-64703026-9,CAÑADA DE JUAN RUIZ 510,CASTELAR,BUENOS AIRES,-58.62566,-34.6433
Combustibles líquidos únicamente,PUMA,SERVICENTRO ZANNI S.R.L.,30-62808570-2,Almafuerte 1680,PARANA,ENTRE RIOS,-60.497235,-31.75546
Combustibles líquidos únicamente,YPF,EL ALAMO S.R.L.,30-67353761-4,RUTA NAC. 3  KM. 2235,PUERTO SAN JULIAN,SANTA CRUZ,-67.78323,-49.29628
Combustibles líquidos únicamente,DAPSA S.A.,PARADOR FIGHIERA SRL,34-63168446-9,AUT. ARAMBURU KM 260,FIGHIERA,SANTA FE,-60.4917,-33.20262
Combustibles líquidos únicamente,YPF,HUGO J.FRAPPA Y RAMON A. MOINE S.R.L.,33-56589771-9,RUTA 36  KM.49.5,DESPEÑADEROS,CORDOBA,-64.30742,-31.81008
Combustibles líquidos únicamente,YPF,MARTÍN EDUARDO VALLE,20-13805776-4,RUTA 92 Y ACCESO A LOS TELARES,LOS TELARES,SANTIAGO DEL ESTERO,-63.43565,-28.98675
Sólo GNC,YPF,GNC DE MORON SA,30-64226947-6,HIPOLITO IRIGOYEN 988,MORON,BUENOS AIRES,-58.62273,-34.66067
Duales (líquidos + GNC),PUMA,VATESU SOCIEDAD ANÓNIMA,30-64631576-6,AVENIDA HIPOLITO YRIGOYEN 13405,ADROGUE,BUENOS AIRES,-58.401001,-34.810578
Sólo GNC,YPF,VECINO Y CIA. S.R.L.,30-63181911-3,REMEDIOS DE ESCALADA 2101,VALENTIN ALSINA,BUENOS AIRES,-58.404202,-34.67931
Combustibles líquidos únicamente,YPF,CARLOS C. GADEA E HIJOS S.A.,30-53046813-1,AV. ARTURO ILLIA 1225,SANTA ROSA,LA PAMPA,-64.26432,-36.61807
Sólo GNC,BLANCA,TODO GAS S.A.,30-70762728-6,66 Nro. 2757 Esq. 150 66 Nro. 2757 Esq. 150,LA PLATA,BUENOS AIRES,-57.979556,-34.966945
Duales (líquidos + GNC),YPF,ESTACION  MONTE GRANDE SA,30-68968225-8,BOULEVARD BUENOS AIRES 1413,E. ECHEVERRIA,BUENOS AIRES,-58.44812,-34.81017
Duales (líquidos + GNC),YPF,ALBERTO RAFAEL ALT Y HÉCTOR JOSÉ ALT S.H.,30-68543329-6,AV.BELGRANO Y AV.SAN JUAN BOSCO s/n,ALTA GRACIA,CORDOBA,-64.42772,-31.65878
Duales (líquidos + GNC),BLANCA,BAHIA DEL OESTE SOCIEDAD ANÓNIMA,30-69216804-2,RIVADAVIA AVDA 22298,ITUZAINGO,BUENOS AIRES,-58.67396,-34.66243
Duales (líquidos + GNC),AXION,ALT ALBERTO R. Y ALT HÉCTOR J. S.H.,30-68543329-6,RUTA 5 Km 29,ALTA GRACIA,CORDOBA,-64.410139,-31.668229
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ALT ALBERTO R. Y ALT HÉCTOR J. S.H.,30-68543329-6,AV. HIPÓLITO YRIGOYEN Y RUTA N° 5,ALTA GRACIA,CORDOBA,-64.407949,-31.651071
Sólo GNC,BLANCA,ALT ALBERTO R. Y ALT HÉCTOR J. S.H.,30-68543329-6,GABINO EZEIZA 150,ALTA GRACIA,CORDOBA,-64.409964,-31.660043
Combustibles líquidos únicamente,YPF,AUTOMÓVIL CLUB ARGENTINO,30-50014329-7,ruta nac 40 km 1237,CACHI,SALTA,-66.16447,-25.12386
Duales (líquidos + GNC),YPF,CUBA SA,30-68389938-7,AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,-58.68471,-34.50666
Combustibles líquidos únicamente,YPF,AUTOMÓVIL CLUB ARGENTINO,30-50014329-7,RUTA NAC. N° 8 - KM. N° 455,CANALS,CORDOBA,-62.86858,-33.53326
Combustibles líquidos únicamente,YPF,J . L. GAMBA HNOS S DE H,30-54371200-7,Iriondo 599,RECONQUISTA,SANTA FE,-59.64388,-29.148
Combustibles líquidos únicamente,YPF,HERMES Y WALTER GUARESCHI S.R.L.,30-57266747-9,AVENIDA AMÉRICA 272,VILLA ASCAZUBI,CORDOBA,-63.896578,-32.165283
Duales (líquidos + GNC),SHELL C.A.P.S.A.,UPAT S.A.,30-61180071-8,AV. ALMIRANTE BROWN 600,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.363559,-34.630028
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,NOREST S.R.L,30-70772808-2,AV.MAIPU 3604,OLIVOS,BUENOS AIRES,-58.49553,-34.50259
